config_id,size,seed,total_distance,vehicle_count,feasible,convergence_iter,wall_time_sec
C1,100,27,641.4595570001163,8,True,86,9.156167458044365
C1,100,28,663.4551465300631,8,True,77,9.428615875076503
C1,100,29,644.9712274014203,8,True,65,8.078659333055839
C2,25,0,263.62807951355813,3,True,11,0.7924686250044033
C2,25,1,264.8013073437901,3,True,22,0.7502724169753492
C2,25,2,262.0582921290061,3,True,8,0.7393745409790426
C2,25,3,262.6663191364533,3,True,13,0.7475490000797436
C2,25,4,239.95724071152065,3,True,90,0.7472697920165956
C2,25,5,263.24125760236086,3,True,8,0.7366783340694383
C2,25,6,256.33875851423807,3,True,10,0.7347770829219371
C2,25,7,264.65906964396845,3,True,0,0.705625458038412
C2,25,8,261.0948898136132,3,True,43,0.8055145000107586
C2,25,9,238.51261522825362,3,True,95,0.7329047080129385
C2,25,10,262.01896779818674,3,True,53,0.7140401670476422
C2,25,11,261.56524959711385,3,True,8,0.7198695839615539
C2,25,12,263.9991944018244,3,True,74,0.7099898749729618
C2,25,13,262.01896779818674,3,True,17,0.7097563750576228
C2,25,14,262.9753160139401,3,True,12,0.7263653329573572
C2,25,15,263.2194019766661,3,True,20,0.8078099160920829
C2,25,16,262.64589456062555,3,True,10,0.7400267909979448
C2,25,17,264.09748282979723,3,True,1,0.7328162499470636
C2,25,18,257.9132734786346,3,True,5,0.7576457499526441
C2,25,19,263.5106723712889,3,True,25,0.7458942920202389
C2,25,20,262.02766567048013,3,True,19,0.7296064579859376
C2,25,21,265.03350249962017,3,True,11,0.7234195410273969
C2,25,22,262.64589456062555,3,True,7,0.7807534579187632
C2,25,23,260.91962790107004,3,True,24,0.7516425829380751
C2,25,24,239.23539771986972,3,True,29,0.9094342079479247
C2,25,25,263.70122532363865,3,True,8,0.8263963749632239
C2,25,26,263.87349761003,3,True,6,0.738572166999802
C2,25,27,263.24125760236086,3,True,43,0.7251210839021951
C2,25,28,261.9555038266833,3,True,7,0.6691341670230031
C2,25,29,261.56524959711385,3,True,4,0.7889141670893878
C2,50,0,389.8507016448795,5,True,83,2.007310334010981
C2,50,1,409.9442281503398,5,True,49,2.599589959019795
C2,50,2,410.67775117679554,5,True,32,2.5667732500005513
C2,50,3,409.51089747591766,5,True,19,2.4633633330231532
C2,50,4,410.13940422705025,5,True,9,2.4514567079022527
C2,50,5,378.67776281012385,5,True,90,2.182832624996081
C2,50,6,408.41574024254874,5,True,69,2.2542966249166057
C2,50,7,406.7784356093759,5,True,46,2.4715647500706837
C2,50,8,408.4956568847746,5,True,36,2.036784042022191
C2,50,9,399.1582589941286,5,True,85,2.074485082994215
C2,50,10,411.86112796627,5,True,4,2.444303083932027
C2,50,11,404.3311805012306,5,True,65,2.251810292014852
C2,50,12,408.1125285762354,5,True,62,1.4138692499836907
C2,50,13,397.00624816480666,5,True,66,1.504705333034508
C2,50,14,382.63111002966593,5,True,89,1.5028297919780016
C2,50,15,383.14927491003243,5,True,95,1.4422890420537442
C2,50,16,406.3394057881536,5,True,23,1.5613251249305904
C2,50,17,385.4040272211896,5,True,68,1.4893413750687614
C2,50,18,409.05678737175015,5,True,45,1.444767834036611
C2,50,19,415.05266178173775,5,True,24,1.5733288750052452
C2,50,20,395.15441804904333,5,True,37,1.6574915000237525
C2,50,21,410.8365983473111,5,True,8,1.4917989170644432
C2,50,22,404.23678888838504,5,True,50,1.3256018339889124
C2,50,23,418.2974137302999,5,True,14,1.3696409170515835
C2,50,24,380.7303787042381,5,True,89,1.569027499994263
C2,50,25,413.19663729778284,5,True,9,1.824283582973294
C2,50,26,401.9385056512558,5,True,66,1.4859903330216184
C2,50,27,412.831537726888,5,True,6,1.3559684170177206
C2,50,28,407.04513649476223,5,True,26,1.2215260000666603
C2,50,29,406.8371481403429,5,True,11,1.1729414159199223
C2,100,0,630.199462430319,8,True,4,4.69448679103516
C2,100,1,605.1865774600269,8,True,29,4.908878542017192
C2,100,2,622.3072678664203,8,True,0,4.764351541991346
C2,100,3,620.5667558037562,8,True,11,4.981625000014901
C2,100,4,614.9517011358436,8,True,8,4.8335697499569505
C2,100,5,617.1284249630204,8,True,46,4.429992041899823
C2,100,6,599.318138890397,8,True,50,4.591290457989089
C2,100,7,619.7755573269416,8,True,0,4.664566125022247
C2,100,8,601.8097650461872,8,True,68,4.953042416949756
C2,100,9,610.2697846768889,8,True,7,5.089747832971625
